종목코드,종목명,전일종가,전일대비,목표주가,ROE [%],부채비율 [%],영업이익률 [%],PBR(FY0) [배]
A211270,?AP위성,"?13,350",?1.37,,?11.66,?52.04,?20.37,?2.01
A056730,?CNT85,?687,?-0.58,,?18.08,?48.81,?1.76,?1.26
A069730,?DSR제강,"?3,770",?1.07,,?6.84,?34.73,?11.03,?0.31
A195940,?HK이노엔,"?38,850",?4.58,,?3.99,?53.53,?7.95,?1.05
A024850,?HLB이노베이션,"?2,720",?-0.37,,?-1.32,?61.57,?-4.56,?3.64
A047920,?HLB제약,"?24,800",?-2.17,,?-22.32,?60.35,?-14.37,?5.23
A403870,?HPSP,"?28,700",?-1.03,,?34.05,?15.74,?53.16,?12.93
A021320,?KCC건설,"?4,035",?-0.98,,?2.31,?178.14,?0.95,?0.24
A036670,?KCI,"?6,630",?1.22,,?10.75,?12.1,?9.34,?0.74
A058860,?KTis,"?2,685",?-0.74,,?6.94,?119.32,?3.46,?0.49
A376190,?LB루셈,"?4,100",?-1.56,,?0.59,?16.07,?-0.67,?0.75
A060370,?LS마린솔루션,"?15,940",?4.52,,?9.89,?19.65,?18.49,?2.28
A053290,?NE능률,"?3,865",?0.13,,?1.25,?22.86,?1.41,?0.97
A104200,?NHN벅스,"?2,920",?0.17,,?-7.1,?31.39,?1.41,?0.86
A008260,?NI스틸,"?3,540",?0.14,,?23.77,?91.29,?18.45,?0.73
A178920,?PI첨단소재,"?19,010",?-3.99,,?-0.55,?64.47,?-1.81,?2.84
A019550,?SBI인베스트먼트,?807,?0.88,,?6.83,?5.04,?29.17,?1.09
A049470,?SGA,?383,?29.83,,?-20.41,?79.06,?-15.75,?0.92
A001770,?SHD,"?15,040",?2.80,,?0.21,?65.35,?0.63,?0.5
A022220,?TKG애강,?968,?-0.82,,?5.61,?16.57,?5.68,?0.61
A040300,?YTN,"?3,200",?-0.62,,?-1.68,?44.92,?-7.13,?1.04
A036620,?감성코퍼레이션,"?3,075",?-2.69,,?37.53,?46.94,?18.12,?3.68
A198440,?강동씨앤엘,"?1,235",?0.00,,?-15.72,?24.26,?-34.06,?0.59
A011420,?갤럭시아에스엠,"?2,035",?-1.21,,?4.95,?20.46,?13.91,?0.97
A039240,?경남스틸,"?5,520",?0.36,,?8.09,?49.94,?2.75,?0.78
A214390,?경보제약,"?6,910",?-0.58,,?2.06,?84.45,?2.56,?1.39
A014570,?고려제약,"?4,920",?0.20,,?-6.08,?16.37,?22.15,?1
A035290,?골드앤에스,?429,?-0.92,,?-22.1,?28.01,?-13.73,?2.44
A037710,?광주신세계,"?28,900",?-0.17,,?6,?14.07,?30.57,?0.29
A006050,?국영지앤엠,"?1,587",?2.19,,?1.61,?48.01,?1.23,?0.98
A060480,?국일신동,"?1,730",?-2.48,,?-2.59,?7.89,?-11.16,?0.61
A114450,?그린생명과학,"?1,897",?4.23,,?-36.93,?21.9,?-20.76,?1.23
A083420,?그린케미칼,"?6,830",?-2.98,,?2.76,?67.3,?1.75,?1.31
A019660,?글로본,?583,?-3.80,,?-35.33,?27.15,?-19.65,?3.31
A008870,?금비,"?61,500",?-2.07,,?4.44,?126.39,?4.76,?0.71
A420770,?기가비스,"?31,650",?10.28,,?20.87,?6.23,?38.3,?4.4
A247660,?나노씨엠에스,"?7,450",?-2.74,,?-14.3,?41.51,?-69,?2.24
A138610,?나이벡,"?17,030",?0.12,,?-20.3,?131.61,?-14.2,?7.61
A111710,?남화산업,"?5,290",?4.55,,?10.14,?7.43,?47.81,?0.73
A212560,?네오오토,"?8,060",?2.28,,?11.65,?63.46,?5.24,?0.69
A153460,?네이블,"?6,500",?1.25,,?-4.49,?9.39,?-15.63,?1.53
A330860,?네패스아크,"?12,010",?-3.22,,?-12.57,?75.28,?-5.48,?1.47
A396270,?넥스트칩,"?13,600",?-3.00,,?-77.22,?138.32,?-139.39,?11.44
A340360,?다보링크,"?2,025",?1.25,,?-10.34,?119.89,?-1.2,?6.25
A323350,?다원넥스뷰,"?5,820",?7.78,,?-1.65,?346.41,?-6.02,?18.61
A020400,?대동금속,"?6,850",?0.74,,?1.67,?95.8,?0.98,?0.89
A008830,?대동기어,"?15,510",?0.26,,?3.43,?182.81,?2.88,?1.17
A048470,?대동스틸,"?3,165",?-0.31,,?-3.06,?33.33,?-1.76,?0.56
A004780,?대륙제관,"?3,895",?-0.51,,?9.6,?38.21,?5.76,?0.46
A036480,?대성미생물,"?9,590",?-1.34,,?-1.78,?72.14,?-2.7,?1.11
A027830,?대성창투,"?1,921",?-1.54,,?3.02,?1.63,?16.6,?1.18
A104040,?대성파인텍,?887,?0.80,,?-4.06,?50.72,?-6.87,?0.74
A020180,?대신정보통신,"?1,065",?0.00,,?20.86,?203.79,?3.44,?1.24
A009190,?대양금속,"?1,524",?-0.26,,?-36.88,?54.54,?-1.24,?0.58
A014160,?대영포장,"?1,138",?0.26,,?4.64,?26.7,?3.91,?0.64
A120240,?대정화금,"?13,110",?-1.06,,?8.27,?17.83,?11.79,?0.72
A054670,?대한뉴팜,"?7,750",?0.52,,?11.81,?61.79,?9.21,?1.16
A023910,?대한약품,"?26,100",?0.00,,?12.01,?18.66,?18.27,?0.66
A003830,?대한화섬,"?106,500",?1.14,,?1.46,?20.05,?1.78,?0.19
A016090,?대현,"?2,300",?0.66,,?9.25,?18.81,?7.22,?0.34
A069460,?대호에이엘,"?1,193",?-1.16,,?4.16,?54,?4.6,?0.9
A032860,?더라미,"?1,282",?-2.06,,?-8.55,?26.97,?-6.95,?2.76
A263800,?데이타솔루션,"?4,985",?-2.83,,?4.96,?136.09,?1.27,?2.48
A023450,?동남합성,"?34,150",?0.00,,?11.69,?88.29,?4.84,?2.26
A099410,?동방선기,"?3,180",?-1.55,,?14.67,?30.66,?12.5,?0.89
A002210,?동성제약,"?4,485",?-2.82,,?-5.02,?188.86,?0.67,?3.02
A025950,?동신건설,"?57,100",?2.88,,?8.4,?21.92,?7.66,?1.5
A228340,?동양파일,"?1,772",?-0.34,,?4.12,?5.62,?6.32,?0.39
